Topic,Content,Description
Memorable Experiences,"Get ready to revel in festivity! 
Your Moments, Our Venue!
One destination for all sort of events 
Veduka Convention
OR
The all-in-one destination for creating special moments and unforgettable memories.
OR
The VEDUKA CONVENTION is the all-in-one event destination to capture special moments and create unforgettable memories.
DHANTERAS
CHOTI DIWALI
DIWALI
GOVARDHAN POOJA
BHAI DOOJ 
CHRISTMASS
NEW YEAR

Let the celebrations begin!",An animated video has been curated to showcase how Veduka serves as a one-stop destination for all your events.
Diwali Greetings ( Nov 12th ),"May your celebrations shine bright with us , bringing joy and prosperity on this auspicious occasion.
Happy Deepawali 
Festival of Lights
NOVEMBER 12th 

Let the festivities begin at our venue!",A creative designed to extend Diwali wishes to our audience.
Luxury Venue,We take pride in crafting a luxurious  and premium venue experience at our convention hall.We take pride in crafting a luxurious  and premium venue experience at our convention hall.,"A creative is designed featuring how Veduka has become a major destination holder, offering a completely stress-free experience from start to finish.
"
Poolside Ecnchanment,"Craft an ambiance of love and warmth with a magical poolside party!
Great music, delicious drinks, and more await.
Retreat to your cozy haven with our top-notch stay facilities.
Relax, unwind, and cherish the memories. Book now for an unforgettable night!","Animated video is curated for a surprise poolside party with music, drinks, and stay."
Children's day ( Nov 14) ,"Embrace youth this Children's Day! Let Veduka Convention echo with children's laughter and dreams in every corner.




","Happy Children's Day from Veduka Convention! Celebrating youth, laughter, dreams, and endless smiles today!"
"International Youth Day
","Rising Together, Shaping Tomorrow
Celebrating International Youth Day
at Veduka Convention 
12th August , Saturday",A creative to be designed wishing our audience International Youth  Day!
"Joyful Retreat (R)
","Memories made, priceless.
Elevate your experience now.
Embrace the Elegance of Nature and Luxury under One Roof",This creative showcases the perfect place for all your happy occasions and created memories.
"Right chocie (R)
",Discover the Perfect Venue for Your Next Event,"A creative is designed illustrating why Veduka is the perfect choice for the stay.
"
"Destination wedding
",Dedicated housekeeping services for a neat and tidy stay,An animated video illustrating Destination wedding this Festive Season .
"Splendid celebrations
","Experience Royalty in all your Splendid Events:
-Beautifully furnished rooms &       amenities 
-Food & Catering
-Lighting & Sound Facilities
-Customizable Packages
-Entertainment & Fun
BOOK NOW
We are just a call away!",A creative design showcasing an exceptional experience.
"AmenitExhibit
","Where Every Detail Finds Its Perfect Place.
Event Furniture
Crafting the ideal ambiance through decor and furniture.
Staff Management
100% dedicated team throughout.
Styling Your Way
Our event and party props are the most trendy
Curate Your Style
We can customize everything to fit your budget (OR)
Tailored to your budget.
Supreme Amenities
Top-notch services and features
Elevating Comfort
Services Arranged for Your Ultimate Satisfaction",Veduka's facilities and amenities are showcased in this video.
"Raksha Bandhan
","Let's celebrate your unbreakable bond this Raksha Bandhan 
Where sibling love and tradition intertwine.",A creative to be designed wishing our audience Happy Raksha Bandhan.
"Weekend Gateway
","BOOK NOW
We are just a call away!",A creative design showcasing an exceptional experience.
"Captivating Whispers
","Enchanting scents, diving into alluring world!
perfume used - Love Musk","A creative to be designed depicting,  Love Musk with a backdrop of elegant atmosphere."
"Friendship Day
",Fragrances to cherish special bonds together,A creative to be designed wishing our audience Happy Friendship Day!
"Rainy Collection 
",Cozy Rainy Collection,A Creative to be Designed depicting luxurious Invicto bottle.
"Shipping policies
","Shipping Policies:
Prompt & On Time Dispatch
Pan India Delivery
No Return/ Exchange
No Cash On Delivery Available",An animated shot presenting the shipping policies of itrawala
"Adventure Awaits! (R)
","Unleash Wanderlust, Evoke Memories!",A creative to be designed highlighting Oudh Masion placed between lush green scenery.
"Independence Day
Fragrance for Confidence (R)
",Spritzing Freedom and Fragrance in the Air!,A creative to be designed wishing our audience Happy Independence Day!
"Zesty Elegance
",Perfume name: Amber Rouge,An animated video curated to Unleash the Vibrance of Amber and Lemon.
"A Touch of Luxury
","Indulge in opulent perfumes crafted from finest ingredients.
Blue Opel",A creative designed highlighting Blue Opel's essence.
"Scent of Royalty
","Luxury Embodied
Limited-Edition Collection
Oudh Maison",A creative designed highlighting Oudh Maison fragrance.
"
Dreamweaver",,
